code,type,subtype,manufacturer,model,description,value,package,info
TERM09CM,heat shrink tubing,9cm wide,,,9cm wide heat shrink tubing; black,,,
TERM20MM,heat shrink tubing,20mm diameter,WOER,RSFR-H,20mm diameter; 125 degC,,,
TERM25MM,heat shrink tubing,25mm diameter,CONINCA,VW-1,20mm diameter; 125 degC,,,
SPAC1865,battery accessories,18650 cell spacer,,,spacer for 18650 electrochemical cells,,,
NIBTSTRP,battery accessories,8mm nickel plated strip,,,nickel plated battery strip,,,
4S40ABMS,battery accessories,battery management system,,,16.8V 40A 4S Lithium BMS,,,
BUCKP50W,converter board,buck; CC/CV,Atnsinc,XL4015,buck converter; CV/CV; 3.5A 50W,,,
SEEDE5LO,development board,ARM M4,Seeed,LoRa-E5,a LoRa development kit powered by ARM(R) Cortex(R)-M4 Core and Semtech(R) SX126X,,,
INA219SS,sensor board,INA219,Generic,INA219,voltage current and power sensor; 0-26V; 0-3.2A,,,
NUCLEO64,development board,STM32L073,ST,NUCLEO-L073RZ,Arm Cortex M0+; STM32L073,,,
STM8AF52,development board,,,,,,,
STM8AL3L,development board,,,,,,,
MSP432P4,development board,MSP432P401R,Texas Instruments,MSP-EXP432P401R,Launchpad development kit 32-bit Low-Power + Performance MCU,,,
MSP430BL,development board,MSP430-BSL,OLIMEX,MSP430-BSL,MSP-BSL Bootloader (BSL) Programmer for MSP40(TM) and SimpleLink(TM) MSP432(TM) Microcontrollers,,,
SHEKGEMG,development board,SHIELD,OLIMEX,SHIELDS-EKG/EMG,Extension module for Olimex ARDUINO compatible boards,,,
ARDMEGA3,development board,Arduino Mega,ARDUINO,Arduino Mega 2560 Rev3,Microcontroller dev board based on the ATmega2560,,,
UNOR4MIN,development board,Arduino Uno,ARDUINO,Arduino Uno R4 Minima,Microcontroller dev board based on the RENESAS R7FA4M1AB3CFM 48 MHz Arm(R) Cortex(R)-M4,,,
ESP32ELE,development board,ELEGOO ESP32,ELEGOO,EL-SM-012,Microcontroller dev board based on the ESP-WROOM-32,,,
BMP280SB,sensor board,BMP280,GY,GY-BMP280,Absolute barometric pressure sensor; temperature sensor,,,
BME280SB,sensor board,BME280,GY,GY-BMEP,Absolute barometric pressure sensor; temperature sensor; humidity sensor,,,
TCTK1200,sensor,type K thermocouple,Generic,BBIMS0-M4,Type K thermocouple; 0-200 degC; 12000mm wire; M4 screw thread,,,
MAX31851,sensor board,type K thermocouple amplifier,Generic,QS2016039,MAX31855; one input,,,
MAX31852,sensor board,type K thermocouple amplifier,QiFEi,,MAX31855; one input,,,
MAX31858,sensor board,type K thermocouple amplifier,whizoo,MAX31855x8,MAX31855; eight inputs,,,
MAX66751,sensor board,type K thermocouple amplifier,Generic,MAX6675,MAX6675; one input,,,
HCSR0400,sensor board,ultrasonic sensor,Generic,HC-SR04,Ultrasonic Sensor; 2400cm range; 5V power supply; 30 deg measuring angle,,,
MBOTFC00,sensor board,limit switch sensor,Generic,Makerbot.com,Limit Switch made by MakerBot.com,,,
SNA00000,sensor,water level sensor,Generic,,,,,
ACS71200,sensor board,current sensor,Generic,ACS712,Hall Effect-based linear current sensor; 5V power supply; +-30 A range; 66mV/A sensitivity,,,
YL069000,sensor,YL-69 moisture sensor,Generic,YL-69,Moisture Sensor,,,
YL038000,sensor board,for YL-69 moisture sensor,Generic,YL-38,Board of the Moisture sensor YL-69,,,
ARDNANO0,development board,Arduino Nano,Generic,Arduino Nano mega32bp,Microcontroller dev board based on mega32BP,,,
ITG0MPU0,sensor board,Inertial Measuring Unit,Generic,MPU-6050,,,,
VL53LO1X,sensor board,Time of flight,Generic,VL53L0/XV2,Time of flight sensor; laser sensor,,,
SMAMTM6I,radio accessories,SMA coax cable,TUOLNK,X002VLR7ZN,SMA male to SMA male coax cable,,,
ANTL900M,radio accessories,LoRa antenna 900MHz,Generic,,,,,
MCXJPCB0,radio accessories,RF Jack female connector,Generic,CONMCX002-SMD-T,,,,
ANTGSMFM,radio accessories,FM antenna 700-1800MHz,Generic,,,,,
SMAFTUF1,radio accessories,SMA coax cable,TUOLNK,X002Y5I1IN,SMA female to UFL IPX 30cm,,,
SMAFTUF2,radio accessories,SMA coax cable,TUOLNK,X002Y5I1IN,SMA female to UFL IPX 15cm,,,
SMAFTUF3,radio accessories,SAM coax cable,MONO Wireless,MW-C-UJ-10-1,SMA female to UFL 10cm,,,
SMATUHF1,radio accessories,SMAf to UHF,TUOLNK,X002NE0XQ3,SMA female to UHF,,,
A24GXIAO,radio accessories,antenna,SEEED,BH2210240004,2.4GHz rod antenna for XIAO ESP32C3,,, 
SMAFLANG,radio accessories,SMAf to SMAf,,,4 hole flange mount SMA RF connector,,,
SMARAPLU,radio accessories,SMA right angle plug,,,SMA rigth angle plug,,,
XRDSRFN0,radio accessories,UHF coax cable,,,XRDS-RFN Male to axial Extension Cable,,,
HELESPV3,development board,HELTEC ESP32,HELTEC,WiFi_LoRa_32_V3,Microcontroller dev board based on the ESP32,,,
HELESPV2,development board,HELTEC ESP32,HELTEC,WiFi_LoRa_32_V2,Microcontroller dev board based on the ESP32,,,
SP3036SP,power,solar cell,Uxcell,a17052600ux1661,Polycristal solar cell 30X36,,,
SP11095P,power,solar panel,Generic,SB-2V550MA,Polycristal solar cell 110X95,,,
SP130150,power,solar panel,Generic,AP130150MM,Polycristal solar cell 130X150,,,
FACT24DC,power,power source,MEAN WELL,IRM-60-24ST,power source; 120-240VAC input to 24VDC output,,,
CAPT470U,passives,capacitor,KEMET,T5430477M016AHE020,tantalum capacitor 16V 470uF 2924 20%,470u,2924,
ACS724IC,integrated circuit,current sensor,Allegro,ACS724KMATR-20AB-T,hall-effect-based current sensor IC SOIC16,20A,SOIC16,
RESP1R00,passives,power resistor,Vishay,RH501R000FS03,wirewound power resistor;chassis mount,1,RH50,
RESP0R50,passives,power resistor,DALE,M2228,wirewound power resistor;chassis mount,0.5,RH50,
RESP0R30,passives,power resistor,DALE,M2205,wirewound power resistor;chassis mount,0.3,RH50,
RESP0R75,passives,power resistor,DALE,M21334,wirewound power resistor;chassis mount,0.75,RH50,
ACVSM2AM,power,voltage sensor module,RAGUSO,ZMPT101B,voltage sensor module,2mA/2mA,,
MOUNTC45,panel accessories,mounting bracket,Jienk,X003R8225J,C45 DIN rail mounting bracket,,DIN,
STOPDINR,panel accessories,end stopper,PZRT,X003KWFELB,DIN rail blocks end stopper,,DIN,
