type,subtype,manufacturer,model,description,units,unit cost,link
development board,XIAOESP32C3,ESP,ESP32C3,XIAO ESP32S3 3PCS Pack- 2.4GHz WiFi BLE 5.0 8MB PSRAM 8MB Flash,20,8000,https://a.co/d/23oKqSO
development board,RF module,HOPERF,RFM95W,sx1276 Based RF Module 915Mhz Lora Ultra Long Range Transceiver,20,6000,https://a.co/d/2Vv4Q4w
development board,4G module,Waveshare,SIM7600X,communication Module Multi-band Support 4G/3G/2G GNSS,10,45000,https://www.waveshare.com/sim7600g-h-4g-module.htm?sku=24011
development board,GPS module,Walfront,UBX-G7020-KT,GPS Module 2.5m accuracy,10,15000,https://a.co/d/1QpNOC2
sensor board,IMU module,Godiymodules,MCU-20948-001,9-Axis 9DOF Motion sensor,20,6700, www.amazon.com/dp/B0D9XWSL41/
actuator,servo,Smraza,SG90 9G,Micro Servo Metal Geared Motor,10,1400,www.amazon.com/dp/B07L2SF3R4/
connectors,TMM male connector,SAMTEC,TMM-106-01-L-D-RA,Male to male connector 12 pins 90 degree angle,75,906,https://www.tme.com/cl/es/details/tmm-106-01-l-d-ra/conectores-placa-placa/samtec/
radio accesories,LoRa Antenna 915MHz,Adafruit,HP-915-2.5A-9T,915MHz spring antenna max power 5W 2.15dBi,10,1500,https://www.crcibernetica.com/simple-spring-antenna-915mhz/
fasteners,screws nuts washers,Sutemribor,--,Allen kit of Screw nuts and washers for M2 M3 and M4,1,11.55,https://www.amazon.com/-/es/Tornillos-arandelas-tornillos-hexagonal-hexagonales/dp/B07H4MG7TC
misc hardware,springs,Dianrui,K-P-051-300,Compression Springs Assortment Kit,1,24.7,https://shorturl.at/GGJnG
enclosures,waterproof box,TM,junction box 80x80x50mm,1,554.91,https://mazcr.com/es/gabinetes-cajas-y-accesorios-plasticos/458154-4127-caja-de-paso-con-conos-marca-tm-en-abs-de-80x80x50mm.html#/1356-diametro-80mm/2914-funcion-caja_de_paso/2997-material-abs/2999-tipo_cierre-cierre_tornillo
enclosures,waterproof box,TM,junction box100x100x70mm,1,2149.86,https://mazcr.com/es/gabinetes-cajas-y-accesorios-plasticos/458155-4128-caja-de-paso-con-conos-marca-tm-en-abs-de-100x100x70mm.html#/1357-diametro-100mm/2914-funcion-caja_de_paso/2997-material-abs/2999-tipo_cierre-cierre_tornillo 
enclosures,waterproof box,TM,junction box 150x150x70mm,1,3325.56,https://mazcr.com/es/gabinetes-cajas-y-accesorios-plasticos/458157-4130-caja-de-paso-con-conos-marca-tm-en-abs-de-150x150x70mm.html#/2914-funcion-caja_de_paso/2997-material-abs/2999-tipo_cierre-cierre_tornillo/3000-diametro-150mm
connectors,waterproof connector,LISTENJIALE,cable gland,1,12.99,https://www.amazon.com/-/es/LISTENJIALE-conectores-impermeables-ajustables-polipropileno/dp/B09Z26FF8B/ref=sr_1_2?__mk_es_US=%C3%85M%C3%85%C5%BD%C3%95%C3%91&sr=8-2
